Seattle WA Midgrade All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPMM_PTE_Y48SE_DPG.M
12:11:57 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMM_PTE_Y48SE_DPG.M Dollars per Gallon
Jan 2020,3.508
Dec 2019,3.597
Nov 2019,3.732
Oct 2019,3.695
Sep 2019,3.615
Aug 2019,3.649
Jul 2019,3.698
Jun 2019,3.788
May 2019,3.859
Apr 2019,3.693
Mar 2019,3.37
Feb 2019,3.371
Jan 2019,3.439
Dec 2018,3.561
Nov 2018,3.734
Oct 2018,3.737
Sep 2018,3.624
Aug 2018,3.62
Jul 2018,3.651
Jun 2018,3.669
May 2018,3.629
Apr 2018,3.452
Mar 2018,3.295
Feb 2018,3.216
Jan 2018,3.143
Dec 2017,3.137
Nov 2017,3.169
Oct 2017,3.123
Sep 2017,3.225
Aug 2017,3.044
Jul 2017,2.979
Jun 2017,3.025
May 2017,3.048
Apr 2017,3.048
Mar 2017,2.983
Feb 2017,2.897
Jan 2017,2.897
Dec 2016,2.756
Nov 2016,2.815
Oct 2016,2.868
Sep 2016,2.824
Aug 2016,2.749
Jul 2016,2.812
Jun 2016,2.789
May 2016,2.68
Apr 2016,2.473
Mar 2016,2.378
Feb 2016,2.267
Jan 2016,2.568
Dec 2015,2.599
Nov 2015,2.617
Oct 2015,2.666
Sep 2015,2.9
Aug 2015,3.215
Jul 2015,3.317
Jun 2015,3.248
May 2015,3.172
Apr 2015,2.921
Mar 2015,3.019
Feb 2015,2.509
Jan 2015,2.55
Dec 2014,3.007
Nov 2014,3.257
Oct 2014,3.601
Sep 2014,3.947
Aug 2014,4.036
Jul 2014,4.114
Jun 2014,4.103
May 2014,4.036
Apr 2014,3.953
Mar 2014,3.738
Feb 2014,3.509
Jan 2014,3.531
Dec 2013,3.489
Nov 2013,3.477
Oct 2013,3.706
Sep 2013,3.869
Aug 2013,3.969
Jul 2013,4.021
Jun 2013,4.002
May 2013,4.072
Apr 2013,3.846
Mar 2013,3.982
Feb 2013,3.812
Jan 2013,3.558
Dec 2012,3.537
Nov 2012,3.711
Oct 2012,4.142
Sep 2012,4.181
Aug 2012,4.03
Jul 2012,3.767
Jun 2012,4.222
May 2012,4.355
Apr 2012,4.277
Mar 2012,4.2
Feb 2012,3.841
Jan 2012,3.65
Dec 2011,3.677
Nov 2011,3.881
Oct 2011,3.948
Sep 2011,4.015
Aug 2011,3.935
Jul 2011,3.938
Jun 2011,4.019
May 2011,4.142
Apr 2011,4.013
Mar 2011,3.83
Feb 2011,3.498
Jan 2011,3.359
Dec 2010,3.286
Nov 2010,3.21
Oct 2010,3.147
Sep 2010,3.114
Aug 2010,3.195
Jul 2010,3.118
Jun 2010,3.08
May 2010,3.153
Apr 2010,3.166
Mar 2010,3.075
Feb 2010,2.926
Jan 2010,2.966
Dec 2009,2.905
Nov 2009,2.933
Oct 2009,2.893
Sep 2009,3.034
Aug 2009,2.939
Jul 2009,2.853
Jun 2009,2.891
May 2009,2.576
Apr 2009,2.416
Mar 2009,2.27
Feb 2009,2.258
Jan 2009,2.106
Dec 2008,1.958
Nov 2008,2.429
Oct 2008,3.318
Sep 2008,3.868
Aug 2008,4.111
Jul 2008,4.406
Jun 2008,4.4
May 2008,3.95
Apr 2008,3.678
Mar 2008,3.581
Feb 2008,3.225
Jan 2008,3.225
Dec 2007,3.241
Nov 2007,3.309
Oct 2007,3.074
Sep 2007,2.961
Aug 2007,2.897
Jul 2007,3.055
Jun 2007,3.261
May 2007,3.504
Apr 2007,3.198
Mar 2007,2.839
Feb 2007,2.557
Jan 2007,2.714
Dec 2006,2.704
Nov 2006,2.563
Oct 2006,2.6
Sep 2006,2.884
Aug 2006,3.103
Jul 2006,3.123
Jun 2006,3.197
May 2006,3.222
Apr 2006,2.837
Mar 2006,2.521
Feb 2006,2.366
Jan 2006,2.322
Dec 2005,2.309
Nov 2005,2.567
Oct 2005,2.878
Sep 2005,2.972
Aug 2005,2.714
Jul 2005,2.522
Jun 2005,2.389
May 2005,2.53
Apr 2005,2.533
Mar 2005,2.254
Feb 2005,2.042
Jan 2005,1.927
Dec 2004,2.026
Nov 2004,2.149
Oct 2004,2.16
Sep 2004,2.096
Aug 2004,2.057
Jul 2004,2.109
Jun 2004,2.301
May 2004,2.317
Apr 2004,2.025
Mar 2004,1.913
Feb 2004,1.795
Jan 2004,1.705
Dec 2003,1.612
Nov 2003,1.662
Oct 2003,1.731
Sep 2003,1.953
Aug 2003,1.837
Jul 2003,1.681
Jun 2003,1.656
May 2003,
