date,price
20-Jan,3.508
19-Dec,3.597
19-Nov,3.732
19-Oct,3.695
19-Sep,3.615
19-Aug,3.649
19-Jul,3.698
19-Jun,3.788
19-May,3.859
19-Apr,3.693
19-Mar,3.37
19-Feb,3.371
19-Jan,3.439
18-Dec,3.561
18-Nov,3.734
18-Oct,3.737
18-Sep,3.624
18-Aug,3.62
18-Jul,3.651
18-Jun,3.669
18-May,3.629
18-Apr,3.452
18-Mar,3.295
18-Feb,3.216
18-Jan,3.143
17-Dec,3.137
17-Nov,3.169
17-Oct,3.123
17-Sep,3.225
17-Aug,3.044
17-Jul,2.979
17-Jun,3.025
17-May,3.048
17-Apr,3.048
17-Mar,2.983
17-Feb,2.897
17-Jan,2.897
16-Dec,2.756
16-Nov,2.815
16-Oct,2.868
16-Sep,2.824
16-Aug,2.749
16-Jul,2.812
16-Jun,2.789
16-May,2.68
16-Apr,2.473
16-Mar,2.378
16-Feb,2.267
16-Jan,2.568
15-Dec,2.599
15-Nov,2.617
15-Oct,2.666
15-Sep,2.9
15-Aug,3.215
15-Jul,3.317
15-Jun,3.248
15-May,3.172
15-Apr,2.921
15-Mar,3.019
15-Feb,2.509
15-Jan,2.55
14-Dec,3.007
14-Nov,3.257
14-Oct,3.601
14-Sep,3.947
14-Aug,4.036
14-Jul,4.114
14-Jun,4.103
14-May,4.036
14-Apr,3.953
14-Mar,3.738
14-Feb,3.509
14-Jan,3.531
13-Dec,3.489
13-Nov,3.477
13-Oct,3.706
13-Sep,3.869
13-Aug,3.969
13-Jul,4.021
13-Jun,4.002
13-May,4.072
13-Apr,3.846
13-Mar,3.982
13-Feb,3.812
13-Jan,3.558
12-Dec,3.537
12-Nov,3.711
12-Oct,4.142
12-Sep,4.181
12-Aug,4.03
12-Jul,3.767
12-Jun,4.222
12-May,4.355
12-Apr,4.277
12-Mar,4.2
12-Feb,3.841
12-Jan,3.65
11-Dec,3.677
11-Nov,3.881
11-Oct,3.948
11-Sep,4.015
11-Aug,3.935
11-Jul,3.938
11-Jun,4.019
11-May,4.142
11-Apr,4.013
11-Mar,3.83
11-Feb,3.498
11-Jan,3.359
10-Dec,3.286
10-Nov,3.21
10-Oct,3.147
10-Sep,3.114
10-Aug,3.195
10-Jul,3.118
10-Jun,3.08
10-May,3.153
10-Apr,3.166
10-Mar,3.075
10-Feb,2.926
10-Jan,2.966
9-Dec,2.905
9-Nov,2.933
9-Oct,2.893
9-Sep,3.034
9-Aug,2.939
9-Jul,2.853
9-Jun,2.891
9-May,2.576
9-Apr,2.416
9-Mar,2.27
9-Feb,2.258
9-Jan,2.106
8-Dec,1.958
8-Nov,2.429
8-Oct,3.318
8-Sep,3.868
8-Aug,4.111
8-Jul,4.406
8-Jun,4.4
8-May,3.95
8-Apr,3.678
8-Mar,3.581
8-Feb,3.225
8-Jan,3.225
7-Dec,3.241
7-Nov,3.309
7-Oct,3.074
7-Sep,2.961
7-Aug,2.897
7-Jul,3.055
7-Jun,3.261
7-May,3.504
7-Apr,3.198
7-Mar,2.839
7-Feb,2.557
7-Jan,2.714
6-Dec,2.704
6-Nov,2.563
6-Oct,2.6
6-Sep,2.884
6-Aug,3.103
6-Jul,3.123
6-Jun,3.197
6-May,3.222
6-Apr,2.837
6-Mar,2.521
6-Feb,2.366
6-Jan,2.322
5-Dec,2.309
5-Nov,2.567
5-Oct,2.878
5-Sep,2.972
5-Aug,2.714
5-Jul,2.522
5-Jun,2.389
5-May,2.53
5-Apr,2.533
5-Mar,2.254
5-Feb,2.042
5-Jan,1.927
4-Dec,2.026
4-Nov,2.149
4-Oct,2.16
4-Sep,2.096
4-Aug,2.057
4-Jul,2.109
4-Jun,2.301
4-May,2.317
4-Apr,2.025
4-Mar,1.913
4-Feb,1.795
4-Jan,1.705
3-Dec,1.612
3-Nov,1.662
3-Oct,1.731
3-Sep,1.953
3-Aug,1.837
3-Jul,1.681
3-Jun,1.656
3-May,
