Seattle WA Premium All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPMP_PTE_Y48SE_DPG.M
12:12:09 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMP_PTE_Y48SE_DPG.M Dollars per Gallon
Jan 2020,3.567
Dec 2019,3.627
Nov 2019,3.778
Oct 2019,3.742
Sep 2019,3.618
Aug 2019,3.653
Jul 2019,3.731
Jun 2019,3.829
May 2019,3.929
Apr 2019,3.75
Mar 2019,3.392
Feb 2019,3.374
Jan 2019,3.441
Dec 2018,3.584
Nov 2018,3.785
Oct 2018,3.8
Sep 2018,3.684
Aug 2018,3.677
Jul 2018,3.713
Jun 2018,3.738
May 2018,3.713
Apr 2018,3.575
Mar 2018,3.417
Feb 2018,3.337
Jan 2018,3.264
Dec 2017,3.253
Nov 2017,3.289
Oct 2017,3.243
Sep 2017,3.346
Aug 2017,3.163
Jul 2017,3.101
Jun 2017,3.143
May 2017,3.166
Apr 2017,3.166
Mar 2017,3.1
Feb 2017,3.013
Jan 2017,3.007
Dec 2016,2.862
Nov 2016,2.924
Oct 2016,2.982
Sep 2016,2.946
Aug 2016,2.866
Jul 2016,2.925
Jun 2016,2.903
May 2016,2.793
Apr 2016,2.584
Mar 2016,2.487
Feb 2016,2.372
Jan 2016,2.673
Dec 2015,2.704
Nov 2015,2.726
Oct 2015,2.769
Sep 2015,3.005
Aug 2015,3.321
Jul 2015,3.42
Jun 2015,3.348
May 2015,3.272
Apr 2015,3.017
Mar 2015,3.115
Feb 2015,2.605
Jan 2015,2.645
Dec 2014,3.131
Nov 2014,3.389
Oct 2014,3.708
Sep 2014,4.05
Aug 2014,4.137
Jul 2014,4.213
Jun 2014,4.205
May 2014,4.133
Apr 2014,4.05
Mar 2014,3.835
Feb 2014,3.612
Jan 2014,3.633
Dec 2013,3.597
Nov 2013,3.585
Oct 2013,3.819
Sep 2013,3.986
Aug 2013,4.082
Jul 2013,4.13
Jun 2013,4.117
May 2013,4.187
Apr 2013,3.955
Mar 2013,4.086
Feb 2013,3.916
Jan 2013,3.662
Dec 2012,3.645
Nov 2012,3.816
Oct 2012,4.248
Sep 2012,4.285
Aug 2012,4.136
Jul 2012,3.872
Jun 2012,4.328
May 2012,4.462
Apr 2012,4.381
Mar 2012,4.302
Feb 2012,3.943
Jan 2012,3.755
Dec 2011,3.783
Nov 2011,3.991
Oct 2011,4.055
Sep 2011,4.121
Aug 2011,4.041
Jul 2011,4.045
Jun 2011,4.127
May 2011,4.253
Apr 2011,4.122
Mar 2011,3.934
Feb 2011,3.601
Jan 2011,3.463
Dec 2010,3.391
Nov 2010,3.315
Oct 2010,3.249
Sep 2010,3.218
Aug 2010,3.299
Jul 2010,3.222
Jun 2010,3.185
May 2010,3.255
Apr 2010,3.269
Mar 2010,3.174
Feb 2010,3.028
Jan 2010,3.068
Dec 2009,3.008
Nov 2009,3.037
Oct 2009,2.996
Sep 2009,3.14
Aug 2009,3.043
Jul 2009,2.958
Jun 2009,2.995
May 2009,2.682
Apr 2009,2.519
Mar 2009,2.376
Feb 2009,2.361
Jan 2009,2.211
Dec 2008,2.067
Nov 2008,2.535
Oct 2008,3.422
Sep 2008,3.972
Aug 2008,4.215
Jul 2008,4.511
Jun 2008,4.502
May 2008,4.054
Apr 2008,3.782
Mar 2008,3.684
Feb 2008,3.327
Jan 2008,3.33
Dec 2007,3.347
Nov 2007,3.413
Oct 2007,3.178
Sep 2007,3.065
Aug 2007,3
Jul 2007,3.156
Jun 2007,3.363
May 2007,3.607
Apr 2007,3.299
Mar 2007,2.942
Feb 2007,2.661
Jan 2007,2.814
Dec 2006,2.808
Nov 2006,2.665
Oct 2006,2.701
Sep 2006,2.987
Aug 2006,3.205
Jul 2006,3.224
Jun 2006,3.299
May 2006,3.322
Apr 2006,2.939
Mar 2006,2.624
Feb 2006,2.472
Jan 2006,2.424
Dec 2005,2.414
Nov 2005,2.669
Oct 2005,2.981
Sep 2005,3.077
Aug 2005,2.815
Jul 2005,2.624
Jun 2005,2.492
May 2005,2.633
Apr 2005,2.634
Mar 2005,2.356
Feb 2005,2.146
Jan 2005,2.032
Dec 2004,2.129
Nov 2004,2.249
Oct 2004,2.261
Sep 2004,2.199
Aug 2004,2.159
Jul 2004,2.212
Jun 2004,2.402
May 2004,2.417
Apr 2004,2.125
Mar 2004,2.012
Feb 2004,1.895
Jan 2004,1.805
Dec 2003,1.713
Nov 2003,1.762
Oct 2003,1.831
Sep 2003,2.052
Aug 2003,1.935
Jul 2003,1.781
Jun 2003,1.757
May 2003,
