U.S. Midgrade All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPMM_PTE_NUS_DPG.M
11:45:41 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMM_PTE_NUS_DPG.M Dollars per Gallon
Jan 2020,2.947
Dec 2019,2.969
Nov 2019,3.046
Oct 2019,3.079
Sep 2019,2.998
Aug 2019,3.005
Jul 2019,3.11
Jun 2019,3.115
May 2019,3.25
Apr 2019,3.165
Mar 2019,2.854
Feb 2019,2.682
Jan 2019,2.658
Dec 2018,2.793
Nov 2018,3.055
Oct 2018,3.23
Sep 2018,3.187
Aug 2018,3.181
Jul 2018,3.196
Jun 2018,3.241
May 2018,3.221
Apr 2018,3.035
Mar 2018,2.874
Feb 2018,2.869
Jan 2018,2.832
Dec 2017,2.755
Nov 2017,2.837
Oct 2017,2.779
Sep 2017,2.916
Aug 2017,2.649
Jul 2017,2.572
Jun 2017,2.617
May 2017,2.654
Apr 2017,2.676
Mar 2017,2.59
Feb 2017,2.565
Jan 2017,2.599
Dec 2016,2.512
Nov 2016,2.45
Oct 2016,2.509
Sep 2016,2.472
Aug 2016,2.427
Jul 2016,2.488
Jun 2016,2.603
May 2016,2.51
Apr 2016,2.355
Mar 2016,2.21
Feb 2016,2.021
Jan 2016,2.207
Dec 2015,2.29
Nov 2015,2.398
Oct 2015,2.518
Sep 2015,2.595
Aug 2015,2.855
Jul 2015,3.002
Jun 2015,2.997
May 2015,2.924
Apr 2015,2.674
Mar 2015,2.662
Feb 2015,2.412
Jan 2015,2.331
Dec 2014,2.752
Nov 2014,3.107
Oct 2014,3.366
Sep 2014,3.586
Aug 2014,3.668
Jul 2014,3.789
Jun 2014,3.861
May 2014,3.852
Apr 2014,3.834
Mar 2014,3.698
Feb 2014,3.533
Jan 2014,3.492
Dec 2013,3.457
Nov 2013,3.423
Oct 2013,3.517
Sep 2013,3.692
Aug 2013,3.729
Jul 2013,3.746
Jun 2013,3.763
May 2013,3.75
Apr 2013,3.723
Mar 2013,3.863
Feb 2013,3.816
Jan 2013,3.479
Dec 2012,3.466
Nov 2012,3.605
Oct 2012,3.901
Sep 2012,3.984
Aug 2012,3.849
Jul 2012,3.569
Jun 2012,3.671
May 2012,3.868
Apr 2012,4.028
Mar 2012,3.977
Feb 2012,3.714
Jan 2012,3.512
Dec 2011,3.401
Nov 2011,3.52
Oct 2011,3.581
Sep 2011,3.735
Aug 2011,3.76
Jul 2011,3.768
Jun 2011,3.799
May 2011,4.025
Apr 2011,3.916
Mar 2011,3.683
Feb 2011,3.33
Jan 2011,3.212
Dec 2010,3.114
Nov 2010,2.979
Oct 2010,2.919
Sep 2010,2.825
Aug 2010,2.853
Jul 2010,2.849
Jun 2010,2.852
May 2010,2.958
