date,price
19-Dec,2.969
19-Nov,3.046
19-Oct,3.079
19-Sep,2.998
19-Aug,3.005
19-Jul,3.110
19-Jun,3.115
19-May,3.250
19-Apr,3.165
19-Mar,2.854
19-Feb,2.682
19-Jan,2.658
18-Dec,2.793
18-Nov,3.055
18-Oct,3.230
18-Sep,3.187
18-Aug,3.181
18-Jul,3.196
18-Jun,3.241
18-May,3.221
18-Apr,3.035
18-Mar,2.874
18-Feb,2.869
18-Jan,2.832
17-Dec,2.755
17-Nov,2.837
17-Oct,2.779
17-Sep,2.916
17-Aug,2.649
17-Jul,2.572
17-Jun,2.617
17-May,2.654
17-Apr,2.676
17-Mar,2.590
17-Feb,2.565
17-Jan,2.599
16-Dec,2.512
16-Nov,2.450
16-Oct,2.509
16-Sep,2.472
16-Aug,2.427
16-Jul,2.488
16-Jun,2.603
16-May,2.510
16-Apr,2.355
16-Mar,2.210
16-Feb,2.021
16-Jan,2.207
15-Dec,2.290
15-Nov,2.398
15-Oct,2.518
15-Sep,2.595
15-Aug,2.855
15-Jul,3.002
15-Jun,2.997
15-May,2.924
15-Apr,2.674
15-Mar,2.662
15-Feb,2.412
15-Jan,2.331
14-Dec,2.752
14-Nov,3.107
14-Oct,3.366
14-Sep,3.586
14-Aug,3.668
14-Jul,3.789
14-Jun,3.861
14-May,3.852
14-Apr,3.834
14-Mar,3.698
14-Feb,3.533
14-Jan,3.492
13-Dec,3.457
13-Nov,3.423
13-Oct,3.517
13-Sep,3.692
13-Aug,3.729
13-Jul,3.746
13-Jun,3.763
13-May,3.750
13-Apr,3.723
13-Mar,3.863
13-Feb,3.816
13-Jan,3.479
12-Dec,3.466
12-Nov,3.605
12-Oct,3.901
12-Sep,3.984
12-Aug,3.849
12-Jul,3.569
12-Jun,3.671
12-May,3.868
12-Apr,4.028
12-Mar,3.977
12-Feb,3.714
12-Jan,3.512
11-Dec,3.401
11-Nov,3.520
11-Oct,3.581
11-Sep,3.735
11-Aug,3.760
11-Jul,3.768
11-Jun,3.799
11-May,4.025
11-Apr,3.916
11-Mar,3.683
11-Feb,3.330
11-Jan,3.212
10-Dec,3.114
10-Nov,2.979
10-Oct,2.919
10-Sep,2.825
10-Aug,2.853
10-Jul,2.849
10-Jun,2.852
10-May,2.958
10-Apr,2.963
10-Mar,2.892
10-Feb,2.770
10-Jan,2.837
9-Dec,2.734
9-Nov,2.774
9-Oct,2.675
9-Sep,2.682
9-Aug,2.739
9-Jul,2.652
9-Jun,2.743
9-May,2.380
9-Apr,2.171
9-Mar,2.078
9-Feb,2.042
9-Jan,1.904
8-Dec,1.817
8-Nov,2.287
8-Oct,3.192
8-Sep,3.823
8-Aug,3.902
8-Jul,4.181
8-Jun,4.169
8-May,3.874
8-Apr,3.571
8-Mar,3.358
8-Feb,3.141
8-Jan,3.160
7-Dec,3.136
7-Nov,3.188
7-Oct,2.918
7-Sep,2.903
7-Aug,2.892
7-Jul,3.067
7-Jun,3.161
7-May,3.241
7-Apr,2.953
7-Mar,2.670
7-Feb,2.385
7-Jan,2.354
6-Dec,2.417
6-Nov,2.336
6-Oct,2.355
6-Sep,2.674
6-Aug,3.056
6-Jul,3.081
6-Jun,2.988
6-May,3.012
6-Apr,2.840
6-Mar,2.521
6-Feb,2.383
6-Jan,2.413
5-Dec,2.282
5-Nov,2.363
5-Oct,2.827
5-Sep,3.007
5-Aug,2.580
5-Jul,2.385
5-Jun,2.251
5-May,2.262
5-Apr,2.342
5-Mar,2.174
5-Feb,2.008
5-Jan,1.930
