U.S. Premium All Formulations Retail Gasoline Prices Monthly
https://www.eia.gov/opendata/qb.php?sdid=PET.EMM_EPMP_PTE_NUS_DPG.M
11:46:01 GMT-0800 (Pacific Standard Time)
Source: U.S. Energy Information Administration
Month,Series ID: PET.EMM_EPMP_PTE_NUS_DPG.M Dollars per Gallon
Jan 2020,3.192
Dec 2019,3.217
Nov 2019,3.297
Oct 2019,3.335
Sep 2019,3.251
Aug 2019,3.261
Jul 2019,3.362
Jun 2019,3.364
May 2019,3.505
Apr 2019,3.417
Mar 2019,3.107
Feb 2019,2.936
Jan 2019,2.904
Dec 2018,3.03
Nov 2018,3.294
Oct 2018,3.472
Sep 2018,3.428
Aug 2018,3.421
Jul 2018,3.441
Jun 2018,3.48
May 2018,3.46
Apr 2018,3.268
Mar 2018,3.109
Feb 2018,3.106
Jan 2018,3.07
Dec 2017,2.992
Nov 2017,3.067
Oct 2017,3.019
Sep 2017,3.161
Aug 2017,2.884
Jul 2017,2.805
Jun 2017,2.849
May 2017,2.885
Apr 2017,2.907
Mar 2017,2.819
Feb 2017,2.8
Jan 2017,2.839
Dec 2016,2.751
Nov 2016,2.685
Oct 2016,2.734
Sep 2016,2.698
Aug 2016,2.649
Jul 2016,2.708
Jun 2016,2.816
May 2016,2.724
Apr 2016,2.566
Mar 2016,2.421
Feb 2016,2.242
Jan 2016,2.424
Dec 2015,2.509
Nov 2015,2.611
Oct 2015,2.718
Sep 2015,2.79
Aug 2015,3.03
Jul 2015,3.172
Jun 2015,3.17
May 2015,3.087
Apr 2015,2.845
Mar 2015,2.829
Feb 2015,2.594
Jan 2015,2.525
Dec 2014,2.943
Nov 2014,3.29
Oct 2014,3.543
Sep 2014,3.755
Aug 2014,3.833
Jul 2014,3.955
Jun 2014,4.024
May 2014,4.017
Apr 2014,3.991
Mar 2014,3.86
Feb 2014,3.707
Jan 2014,3.671
Dec 2013,3.637
Nov 2013,3.597
Oct 2013,3.684
Sep 2013,3.855
Aug 2013,3.896
Jul 2013,3.904
Jun 2013,3.909
May 2013,3.888
Apr 2013,3.876
Mar 2013,4.016
Feb 2013,3.969
Jan 2013,3.644
Dec 2012,3.627
Nov 2012,3.764
Oct 2012,4.041
Sep 2012,4.124
Aug 2012,3.989
Jul 2012,3.705
Jun 2012,3.793
May 2012,3.995
Apr 2012,4.162
Mar 2012,4.101
Feb 2012,3.851
Jan 2012,3.651
Dec 2011,3.536
Nov 2011,3.649
Oct 2011,3.708
Sep 2011,3.86
Aug 2011,3.894
Jul 2011,3.9
Jun 2011,3.929
May 2011,4.15
Apr 2011,4.036
Mar 2011,3.802
Feb 2011,3.45
Jan 2011,3.338
Dec 2010,3.24
Nov 2010,3.103
Oct 2010,3.037
Sep 2010,2.938
Aug 2010,2.968
Jul 2010,2.965
Jun 2010,2.973
May 2010,3.079
Apr 2010,3.08
Mar 2010,3.008
Feb 2010,2.893
Jan 2010,2.957
Dec 2009,2.856
Nov 2009,2.895
Oct 2009,2.789
Sep 2009,2.796
Aug 2009,2.856
Jul 2009,2.773
Jun 2009,2.857
May 2009,2.494
Apr 2009,2.284
Mar 2009,2.194
Feb 2009,2.16
Jan 2009,2.021
Dec 2008,1.946
Nov 2008,2.418
Oct 2008,3.321
Sep 2008,3.944
Aug 2008,4.022
Jul 2008,4.298
Jun 2008,4.284
May 2008,3.991
Apr 2008,3.679
Mar 2008,3.465
Feb 2008,3.256
Jan 2008,3.277
Dec 2007,3.252
Nov 2007,3.297
Oct 2007,3.028
Sep 2007,3.011
Aug 2007,3.004
Jul 2007,3.172
Jun 2007,3.263
May 2007,3.331
Apr 2007,3.052
Mar 2007,2.766
Feb 2007,2.479
Jan 2007,2.459
Dec 2006,2.52
Nov 2006,2.436
Oct 2006,2.458
Sep 2006,2.783
Aug 2006,3.163
Jul 2006,3.181
Jun 2006,3.088
May 2006,3.113
Apr 2006,2.944
Mar 2006,2.618
Feb 2006,2.485
Jan 2006,2.522
Dec 2005,2.383
Nov 2005,2.465
Oct 2005,2.934
Sep 2005,3.121
Aug 2005,2.679
Jul 2005,2.483
Jun 2005,2.347
May 2005,2.357
Apr 2005,2.429
Mar 2005,2.263
Feb 2005,2.101
Jan 2005,2.029
Dec 2004,2.046
Nov 2004,2.175
Oct 2004,2.187
Sep 2004,2.059
Aug 2004,2.067
Jul 2004,2.104
Jun 2004,2.162
May 2004,2.159
Apr 2004,1.979
Mar 2004,1.923
Feb 2004,1.837
Jan 2004,1.763
Dec 2003,1.673
Nov 2003,1.702
Oct 2003,1.753
Sep 2003,1.865
Aug 2003,1.799
Jul 2003,1.697
Jun 2003,1.674
May 2003,1.686
Apr 2003,1.78
Mar 2003,1.875
Feb 2003,1.798
Jan 2003,1.65
Dec 2002,1.58
Nov 2002,1.607
Oct 2002,1.629
Sep 2002,1.586
Aug 2002,1.583
Jul 2002,1.58
Jun 2002,1.567
May 2002,1.58
Apr 2002,1.582
Mar 2002,1.427
Feb 2002,1.297
Jan 2002,1.292
Dec 2001,1.271
Nov 2001,1.357
Oct 2001,1.499
Sep 2001,1.682
Aug 2001,1.601
Jul 2001,1.622
Jun 2001,1.801
May 2001,1.869
Apr 2001,1.732
Mar 2001,1.596
Feb 2001,1.635
Jan 2001,1.63
Dec 2000,1.628
Nov 2000,1.697
Oct 2000,1.71
Sep 2000,1.725
Aug 2000,1.653
Jul 2000,1.735
Jun 2000,1.789
May 2000,1.667
Apr 2000,1.651
Mar 2000,1.696
Feb 2000,1.552
Jan 2000,1.471
Dec 1999,1.458
Nov 1999,1.436
Oct 1999,1.431
Sep 1999,1.437
Aug 1999,1.401
Jul 1999,1.337
Jun 1999,1.297
May 1999,1.314
Apr 1999,1.31
Mar 1999,1.166
Feb 1999,1.112
Jan 1999,1.128
Dec 1998,1.137
Nov 1998,1.183
Oct 1998,1.204
Sep 1998,1.193
Aug 1998,1.207
Jul 1998,1.234
Jun 1998,1.241
May 1998,1.244
Apr 1998,1.216
Mar 1998,1.203
Feb 1998,1.237
Jan 1998,1.273
Dec 1997,1.316
Nov 1997,1.354
Oct 1997,1.379
Sep 1997,1.411
Aug 1997,1.401
Jul 1997,1.354
Jun 1997,1.373
May 1997,1.378
Apr 1997,1.381
Mar 1997,1.389
Feb 1997,1.413
Jan 1997,1.419
Dec 1996,1.418
Nov 1996,1.413
Oct 1996,1.384
Sep 1996,1.38
Aug 1996,1.386
Jul 1996,1.409
Jun 1996,1.437
May 1996,1.462
Apr 1996,1.411
Mar 1996,1.32
Feb 1996,1.274
Jan 1996,1.276
Dec 1995,1.255
Nov 1995,1.247
Oct 1995,1.273
Sep 1995,1.298
Aug 1995,1.311
Jul 1995,1.342
Jun 1995,1.379
May 1995,1.364
Apr 1995,1.295
Mar 1995,1.258
Feb 1995,1.265
Jan 1995,1.275
Dec 1994,1.285
Nov 1994,
