date,price
19-Dec,2.555
19-Nov,2.598
19-Oct,2.627
19-Sep,2.592
19-Aug,2.621
19-Jul,2.740
19-Jun,2.716
19-May,2.859
19-Apr,2.798
19-Mar,2.516
19-Feb,2.309
19-Jan,2.248
18-Dec,2.366
18-Nov,2.647
18-Oct,2.860
18-Sep,2.836
18-Aug,2.836
18-Jul,2.849
18-Jun,2.891
18-May,2.901
18-Apr,2.757
18-Mar,2.591
18-Feb,2.587
18-Jan,2.555
17-Dec,2.477
17-Nov,2.564
17-Oct,2.505
17-Sep,2.645
17-Aug,2.380
17-Jul,2.300
17-Jun,2.347
17-May,2.391
17-Apr,2.417
17-Mar,2.325
17-Feb,2.304
17-Jan,2.349
16-Dec,2.254
16-Nov,2.182
16-Oct,2.249
16-Sep,2.219
16-Aug,2.178
16-Jul,2.239
16-Jun,2.366
16-May,2.268
16-Apr,2.113
16-Mar,1.969
16-Feb,1.764
16-Jan,1.949
15-Dec,2.038
15-Nov,2.158
15-Oct,2.290
15-Sep,2.365
15-Aug,2.636
15-Jul,2.794
15-Jun,2.802
15-May,2.718
15-Apr,2.469
15-Mar,2.464
15-Feb,2.216
15-Jan,2.116
14-Dec,2.543
14-Nov,2.912
14-Oct,3.171
14-Sep,3.406
14-Aug,3.487
14-Jul,3.611
14-Jun,3.692
14-May,3.673
14-Apr,3.661
14-Mar,3.533
14-Feb,3.356
14-Jan,3.313
13-Dec,3.276
13-Nov,3.243
13-Oct,3.344
13-Sep,3.532
13-Aug,3.574
13-Jul,3.591
13-Jun,3.626
13-May,3.615
13-Apr,3.570
13-Mar,3.711
13-Feb,3.670
13-Jan,3.319
12-Dec,3.310
12-Nov,3.452
12-Oct,3.746
12-Sep,3.849
12-Aug,3.722
12-Jul,3.439
12-Jun,3.539
12-May,3.732
12-Apr,3.900
12-Mar,3.852
12-Feb,3.579
12-Jan,3.380
11-Dec,3.266
11-Nov,3.384
11-Oct,3.448
11-Sep,3.611
11-Aug,3.639
11-Jul,3.650
11-Jun,3.680
11-May,3.906
11-Apr,3.800
11-Mar,3.561
11-Feb,3.211
11-Jan,3.095
10-Dec,2.993
10-Nov,2.859
10-Oct,2.801
10-Sep,2.705
10-Aug,2.730
10-Jul,2.729
10-Jun,2.732
10-May,2.836
10-Apr,2.848
10-Mar,2.772
10-Feb,2.644
10-Jan,2.715
9-Dec,2.607
9-Nov,2.651
9-Oct,2.551
9-Sep,2.554
9-Aug,2.616
9-Jul,2.527
9-Jun,2.631
9-May,2.266
9-Apr,2.049
9-Mar,1.959
9-Feb,1.923
9-Jan,1.788
8-Dec,1.687
8-Nov,2.147
8-Oct,3.051
8-Sep,3.703
8-Aug,3.779
8-Jul,4.062
8-Jun,4.054
8-May,3.766
8-Apr,3.458
8-Mar,3.244
8-Feb,3.028
8-Jan,3.043
7-Dec,3.018
7-Nov,3.080
7-Oct,2.803
7-Sep,2.803
7-Aug,2.786
7-Jul,2.965
7-Jun,3.056
7-May,3.146
7-Apr,2.845
7-Mar,2.563
7-Feb,2.278
7-Jan,2.240
6-Dec,2.313
6-Nov,2.229
6-Oct,2.245
6-Sep,2.555
6-Aug,2.952
6-Jul,2.981
6-Jun,2.885
6-May,2.907
6-Apr,2.742
6-Mar,2.425
6-Feb,2.280
6-Jan,2.316
5-Dec,2.185
5-Nov,2.257
5-Oct,2.717
5-Sep,2.903
5-Aug,2.486
5-Jul,2.290
5-Jun,2.156
5-May,2.161
5-Apr,2.243
5-Mar,2.079
5-Feb,1.910
5-Jan,1.831
