date,price
20-Jan,3.141
19-Dec,3.248
19-Nov,3.401
19-Oct,3.373
19-Sep,3.251
19-Aug,3.285
19-Jul,3.366
19-Jun,3.472
19-May,3.557
19-Apr,3.393
19-Mar,3.028
19-Feb,3.002
19-Jan,3.068
18-Dec,3.216
18-Nov,3.417
18-Oct,3.444
18-Sep,3.307
18-Aug,3.298
18-Jul,3.359
18-Jun,3.404
18-May,3.394
18-Apr,3.281
18-Mar,3.126
18-Feb,3.042
18-Jan,2.969
17-Dec,2.974
17-Nov,3.001
17-Oct,2.947
17-Sep,3.05
17-Aug,2.871
17-Jul,2.801
17-Jun,2.848
17-May,2.874
17-Apr,2.876
17-Mar,2.814
17-Feb,2.728
17-Jan,2.727
16-Dec,2.58
16-Nov,2.64
16-Oct,2.697
16-Sep,2.656
16-Aug,2.583
16-Jul,2.642
16-Jun,2.623
16-May,2.518
16-Apr,2.31
16-Mar,2.23
16-Feb,2.11
16-Jan,2.423
15-Dec,2.457
15-Nov,2.479
15-Oct,2.526
15-Sep,2.761
15-Aug,3.076
15-Jul,3.182
15-Jun,3.124
15-May,3.052
15-Apr,2.796
15-Mar,2.893
15-Feb,2.373
15-Jan,2.41
14-Dec,2.868
14-Nov,3.113
14-Oct,3.463
14-Sep,3.817
14-Aug,3.91
14-Jul,3.981
14-Jun,3.972
14-May,3.904
14-Apr,3.824
14-Mar,3.612
14-Feb,3.377
14-Jan,3.4
13-Dec,3.363
13-Nov,3.343
13-Oct,3.573
13-Sep,3.733
13-Aug,3.838
13-Jul,3.886
13-Jun,3.863
13-May,3.936
13-Apr,3.71
13-Mar,3.85
13-Feb,3.686
13-Jan,3.431
12-Dec,3.407
12-Nov,3.576
12-Oct,4.011
12-Sep,4.048
12-Aug,3.901
12-Jul,3.63
12-Jun,4.09
12-May,4.23
12-Apr,4.147
12-Mar,4.075
12-Feb,3.717
12-Jan,3.517
11-Dec,3.544
11-Nov,3.743
11-Oct,3.815
11-Sep,3.882
11-Aug,3.797
11-Jul,3.804
11-Jun,3.887
11-May,4.02
11-Apr,3.891
11-Mar,3.705
11-Feb,3.375
11-Jan,3.238
10-Dec,3.163
10-Nov,3.084
10-Oct,3.021
10-Sep,2.984
10-Aug,3.072
10-Jul,2.991
10-Jun,2.955
10-May,3.03
10-Apr,3.05
10-Mar,2.96
10-Feb,2.803
10-Jan,2.85
9-Dec,2.784
9-Nov,2.815
9-Oct,2.775
9-Sep,2.915
9-Aug,2.82
9-Jul,2.73
9-Jun,2.776
9-May,2.457
9-Apr,2.296
9-Mar,2.159
9-Feb,2.149
9-Jan,1.992
8-Dec,1.839
8-Nov,2.305
8-Oct,3.193
8-Sep,3.748
8-Aug,3.984
8-Jul,4.289
8-Jun,4.285
8-May,3.84
8-Apr,3.567
8-Mar,3.465
8-Feb,3.107
8-Jan,3.113
7-Dec,3.13
7-Nov,3.204
7-Oct,2.971
7-Sep,2.855
7-Aug,2.787
7-Jul,2.946
7-Jun,3.15
7-May,3.397
7-Apr,3.098
7-Mar,2.742
7-Feb,2.455
7-Jan,2.616
6-Dec,2.605
6-Nov,2.463
6-Oct,2.497
6-Sep,2.782
6-Aug,2.995
6-Jul,3.012
6-Jun,3.089
6-May,3.115
6-Apr,2.733
6-Mar,2.416
6-Feb,2.256
6-Jan,2.213
5-Dec,2.194
5-Nov,2.455
5-Oct,2.767
5-Sep,2.869
5-Aug,2.606
5-Jul,2.414
5-Jun,2.28
5-May,2.418
5-Apr,2.427
5-Mar,2.146
5-Feb,1.93
5-Jan,1.811
4-Dec,1.905
4-Nov,2.034
4-Oct,2.053
4-Sep,1.988
4-Aug,1.942
4-Jul,1.99
4-Jun,2.194
4-May,2.216
4-Apr,1.922
4-Mar,1.807
4-Feb,1.689
4-Jan,1.599
3-Dec,1.495
3-Nov,1.55
3-Oct,1.617
3-Sep,1.85
3-Aug,1.745
3-Jul,1.586
3-Jun,1.553
3-May,
